ds,yhat,yhat_lower,yhat_upper,series
2035-03-01,187269.22101995343,90249.35928564004,276106.75831147237,SriLanka_Total
2035-04-01,153471.7260536441,57703.052408799245,243439.6518618147,SriLanka_Total
2035-05-01,88744.67117487149,-772.6752486466447,183839.33625458617,SriLanka_Total
2035-06-01,107295.85021442985,14927.565201742644,193524.01737457086,SriLanka_Total
2035-07-01,150281.60348154607,47888.84884267679,244620.88399144638,SriLanka_Total
2035-08-01,150428.34160159947,59126.515842844805,246425.46163546338,SriLanka_Total
2035-09-01,113592.6309467025,20316.802335423366,208777.324414662,SriLanka_Total
2035-10-01,110241.67286967568,16002.634121533301,206041.54098321722,SriLanka_Total
2035-11-01,152069.80038026578,56151.03617618859,245184.7887143562,SriLanka_Total
2035-12-01,211168.50020829262,118466.84352930279,307733.06592646573,SriLanka_Total
